date,beta,close,volume,open
2022-09-08,1.73,17.68,30490000.0,17.37
2022-09-07,1.73,17.48,58650000.0,16.54
2022-09-06,1.73,17.11,32490000.000000004,17.6
2022-09-02,1.73,17.73,44130000.0,18.43
2022-09-01,1.73,18.79,47670000.0,19.28
2022-08-31,1.73,19.91,39380000.0,20.11
2022-08-30,1.73,19.83,29820000.0,19.85
2022-08-29,1.73,19.81,33250000.0,19.66
2022-08-26,1.73,19.92,61530000.0,20.77
2022-08-25,1.73,20.08,42460000.0,19.43
2022-08-24,1.73,18.87,29270000.0,18.01
2022-08-23,1.73,18.29,34210000.0,18.69
2022-08-22,1.73,18.95,27330000.0,18.88
2022-08-19,1.73,19.05,24260000.0,19.62
2022-08-18,1.73,19.91,21640000.0,20.02
2022-08-17,1.73,20.08,26460000.0,20.68
2022-08-16,1.73,20.91,32100000.0,21.15
2022-08-15,1.73,21.3,36350000.0,20.51
2022-08-12,1.73,21.11,34950000.0,20.26
2022-08-11,1.73,20.82,56330000.0,20.4
2022-08-10,1.73,20.05,35350000.0,19.58
2022-08-09,1.73,19.17,38120000.0,20.23
2022-08-08,1.73,20.17,29580000.0,20.25
2022-08-05,1.73,20.22,34060000.0,20.53
2022-08-04,1.73,20.9,37740000.0,20.39
2022-08-03,1.73,20.3,44050000.0,20.31
2022-08-02,1.73,20.18,51260000.0,19.68
2022-08-01,1.73,20.18,54380000.0,20.19
2022-07-29,1.73,19.73,36940000.0,18.81
2022-07-28,1.73,19.49,31080000.0,19.18
2022-07-27,1.73,19.38,32850000.0,19.14
2022-07-26,1.73,19.04,27670000.0,19.35
2022-07-25,1.73,19.33,30360000.0,18.98
2022-07-22,1.73,19.24,55610000.0,20.72
2022-07-21,1.73,20.68,39840000.0,20.16
2022-07-20,1.73,20.37,40380000.0,20.01
2022-07-19,1.73,20.2,63210000.0,21.1
2022-07-18,1.73,20.84,40380000.0,20.96
2022-07-15,1.73,20.72,41340000.0,20.84
2022-07-14,1.73,21.05,39870000.0,21.06
2022-07-13,1.73,21.09,50090000.0,20.23
2022-07-12,1.73,20.87,49780000.0,20.41
2022-07-11,1.73,20.57,54820000.0,21.6
2022-07-08,1.73,22.6,48920000.0,22.16
2022-07-07,1.73,22.5,72100000.0,21.4
2022-07-06,1.73,20.83,58980000.0,21.81
2022-07-05,1.73,22.18,50660000.0,21.04
2022-07-01,1.73,21.36,56860000.0,22.32
2022-06-30,1.73,21.72,53070000.0,21.86
2022-06-29,1.73,21.86,71580000.0,20.76
2022-06-28,1.73,22.36,76350000.0,22.36
2022-06-27,1.73,22.95,61700000.0,24.13
2022-06-24,1.73,24.08,67060000.0,23.22
2022-06-23,1.73,23.05,77500000.0,23.11
2022-06-22,1.73,22.55,81590000.0,22.34
2022-06-21,1.73,22.66,90290000.0,21.84
2022-06-17,1.73,20.77,82070000.0,19.77
2022-06-16,1.73,19.18,77240000.0,19.18
