"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2025","683.55","696.58","703.87","682.36","15.66M","-1.62%"
"02/20/2025","694.84","697.28","705.63","693.64","12.59M","-1.27%"
"02/19/2025","703.77","704.09","707.00","695.39","17.54M","-1.76%"
"02/18/2025","716.37","736.00","737.00","706.44","21.94M","-2.76%"
"02/14/2025","736.67","726.14","740.91","725.62","16.90M","1.11%"
"02/13/2025","728.56","721.52","729.00","718.04","12.57M","0.44%"
"02/12/2025","725.38","715.30","727.10","712.60","12.02M","0.78%"
"02/11/2025","719.80","713.32","723.66","710.04","13.00M","0.33%"
"02/10/2025","717.40","718.56","721.20","711.33","12.90M","0.40%"
"02/07/2025","714.52","716.79","725.01","711.75","16.43M","0.36%"
"02/06/2025","711.99","705.88","718.90","703.50","13.08M","1.01%"
"02/05/2025","704.87","703.55","718.14","699.01","17.79M","0.10%"
"02/04/2025","704.19","702.50","707.71","691.61","13.83M","0.96%"
"02/03/2025","697.46","675.91","704.00","675.25","21.42M","1.20%"
"01/31/2025","689.18","691.00","705.30","685.58","19.33M","0.32%"
"01/30/2025","687.00","696.82","710.79","676.10","29.32M","1.55%"
"01/29/2025","676.49","675.00","681.05","665.67","21.38M","0.32%"
"01/28/2025","674.33","666.00","682.58","659.47","20.95M","2.19%"
"01/27/2025","659.88","626.61","663.87","625.10","28.40M","1.91%"
"01/24/2025","647.49","636.40","652.00","634.20","19.07M","1.73%"
"01/23/2025","636.45","627.36","636.60","621.15","9.91M","2.08%"
"01/22/2025","623.50","623.30","633.70","619.43","12.27M","1.14%"
"01/21/2025","616.46","617.83","621.50","609.01","11.67M","0.60%"
"01/17/2025","612.77","624.05","624.97","603.67","17.28M","0.24%"
"01/16/2025","611.30","611.50","616.25","609.71","8.36M","-0.94%"
"01/15/2025","617.12","610.21","622.46","606.50","15.52M","3.85%"
"01/14/2025","594.25","605.07","605.49","588.55","13.60M","-2.31%"
"01/13/2025","608.33","607.10","608.97","598.45","10.79M","-1.22%"
"01/10/2025","615.86","610.03","629.91","597.34","19.26M","0.84%"
"01/08/2025","610.72","613.40","616.44","602.79","10.09M","-1.16%"
"01/07/2025","617.89","631.70","632.10","608.23","12.07M","-1.95%"
"01/06/2025","630.20","611.83","630.99","605.62","14.56M","4.23%"
