"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2025","239.07","235.10","241.37","234.76","46.27M","1.59%"
"03/06/2025","235.33","234.43","237.86","233.16","45.17M","-0.17%"
"03/05/2025","235.74","235.42","236.55","229.23","47.23M","-0.08%"
"03/04/2025","235.93","237.71","240.07","234.68","53.80M","-0.88%"
"03/03/2025","238.03","241.79","244.03","236.11","47.18M","-1.58%"
"02/28/2025","241.84","236.95","242.09","230.20","56.83M","1.91%"
"02/27/2025","237.30","239.41","242.46","237.06","41.15M","-1.27%"
"02/26/2025","240.36","244.33","244.98","239.13","44.43M","-2.70%"
"02/25/2025","247.04","248.00","250.00","244.91","48.01M","-0.02%"
"02/24/2025","247.10","244.93","248.86","244.42","51.33M","0.63%"
"02/21/2025","245.55","245.95","248.69","245.22","53.20M","-0.11%"
"02/20/2025","245.83","244.94","246.78","244.29","32.32M","0.39%"
"02/19/2025","244.87","244.66","246.01","243.16","32.20M","0.16%"
"02/18/2025","244.47","244.15","245.18","241.84","48.82M","-0.05%"
"02/14/2025","244.60","241.25","245.55","240.99","40.90M","1.27%"
"02/13/2025","241.53","236.91","242.34","235.57","53.61M","1.97%"
"02/12/2025","236.87","231.20","236.96","230.68","45.24M","1.83%"
"02/11/2025","232.62","228.20","235.23","228.13","53.72M","2.18%"
"02/10/2025","227.65","229.57","230.59","227.20","33.12M","0.01%"
"02/07/2025","227.63","232.60","234.00","227.26","39.71M","-2.40%"
"02/06/2025","233.22","231.29","233.80","230.43","29.93M","0.32%"
"02/05/2025","232.47","228.53","232.67","228.27","39.66M","-0.14%"
"02/04/2025","232.80","227.25","233.13","226.65","45.07M","2.10%"
"02/03/2025","228.01","229.99","231.83","225.70","73.06M","-3.39%"
"01/31/2025","236.00","247.19","247.19","233.44","101.08M","-0.67%"
"01/30/2025","237.59","238.66","240.79","237.21","55.66M","-0.74%"
"01/29/2025","239.36","234.12","239.85","234.01","45.49M","0.46%"
"01/28/2025","238.26","230.85","240.19","230.81","75.71M","3.65%"
"01/27/2025","229.86","224.02","232.15","223.98","94.86M","3.18%"
"01/24/2025","222.78","224.78","225.63","221.41","54.70M","-0.39%"
"01/23/2025","223.66","224.74","227.03","222.30","60.23M","-0.08%"
"01/22/2025","223.83","219.79","224.12","219.79","64.13M","0.53%"
"01/21/2025","222.64","224.00","224.42","219.38","98.07M","-3.19%"
"01/17/2025","229.98","232.12","232.29","228.48","68.49M","0.75%"
"01/16/2025","228.26","237.35","238.01","228.03","71.76M","-4.04%"
"01/15/2025","237.87","234.63","238.96","234.43","39.83M","1.97%"
"01/14/2025","233.28","234.75","236.12","232.47","39.44M","-0.48%"
"01/13/2025","234.40","233.53","234.67","229.72","49.63M","-1.03%"
"01/10/2025","236.85","240.01","240.16","233.00","61.71M","-2.41%"
"01/08/2025","242.70","241.92","243.71","240.05","37.63M","0.20%"
"01/07/2025","242.21","242.98","245.55","241.35","40.86M","-1.14%"
"01/06/2025","245.00","244.31","247.33","243.20","45.05M","0.67%"
"01/03/2025","243.36","243.36","244.18","241.89","40.24M","-0.20%"
"01/02/2025","243.85","248.93","249.10","241.82","55.74M","-2.62%"
"12/31/2024","250.42","252.44","253.28","249.43","39.48M","-0.71%"
"12/30/2024","252.20","252.23","253.50","250.75","35.56M","-1.33%"
"12/27/2024","255.59","257.83","258.70","253.06","42.36M","-1.32%"
"12/26/2024","259.02","258.19","260.10","257.63","27.26M","0.32%"
"12/24/2024","258.20","255.49","258.21","255.29","23.23M","1.15%"
"12/23/2024","255.27","254.77","255.65","253.45","40.86M","0.31%"
"12/20/2024","254.49","248.04","255.00","245.69","147.50M","1.88%"
"12/19/2024","249.79","247.50","252.00","247.09","60.88M","0.70%"
"12/18/2024","248.05","252.16","254.28","247.74","56.77M","-2.14%"
"12/17/2024","253.48","250.08","253.83","249.78","51.36M","0.97%"
"12/16/2024","251.04","247.99","251.38","247.65","51.69M","1.17%"
"12/13/2024","248.13","247.82","249.29","246.24","33.16M","0.07%"
"12/12/2024","247.96","246.89","248.74","245.68","32.78M","0.60%"
"12/11/2024","246.49","247.96","250.80","246.26","45.21M","-0.52%"
"12/10/2024","247.77","246.89","248.21","245.34","36.91M","0.41%"
"12/09/2024","246.75","241.83","247.24","241.75","44.65M","1.61%"
"12/06/2024","242.84","242.90","244.63","242.08","36.87M","-0.08%"
"12/05/2024","243.04","243.99","244.54","242.13","40.03M","0.01%"
"12/04/2024","243.01","242.87","244.11","241.25","44.38M","0.15%"
"12/03/2024","242.65","239.81","242.76","238.90","38.86M","1.28%"
"12/02/2024","239.59","237.27","240.79","237.16","48.14M","0.95%"
"11/29/2024","237.33","234.80","237.81","233.97","28.48M","1.02%"
"11/27/2024","234.93","234.46","235.69","233.81","33.50M","-0.06%"
"11/26/2024","235.06","233.33","235.57","233.33","45.99M","0.94%"
"11/25/2024","232.87","231.46","233.24","229.74","90.15M","1.31%"
"11/22/2024","229.87","228.06","230.72","228.06","38.17M","0.59%"
"11/21/2024","228.52","228.88","230.15","225.71","42.11M","-0.21%"
"11/20/2024","229.00","228.06","229.93","225.89","35.17M","0.32%"
"11/19/2024","228.28","226.98","230.16","226.66","36.21M","0.11%"
"11/18/2024","228.02","225.25","229.74","225.17","44.69M","1.34%"
"11/15/2024","225.00","226.40","226.92","224.27","47.92M","-1.41%"
"11/14/2024","228.22","225.02","228.87","225.00","44.92M","1.38%"
"11/13/2024","225.12","224.01","226.65","222.76","48.57M","0.40%"
"11/12/2024","224.23","224.55","225.59","223.35","40.40M","0.00%"
"11/11/2024","224.23","225.00","225.70","221.50","42.01M","-1.20%"
"11/08/2024","226.96","227.17","228.66","226.40","38.33M","-0.23%"
"11/07/2024","227.48","224.63","227.88","224.57","42.14M","2.14%"
"11/06/2024","222.72","222.61","226.07","221.19","54.56M","-0.33%"
"11/05/2024","223.45","221.79","223.95","221.14","28.11M","0.65%"
"11/04/2024","222.01","220.99","222.79","219.71","44.94M","-0.40%"
"11/01/2024","222.91","220.96","225.35","220.27","65.28M","-1.33%"
"10/31/2024","225.91","229.34","229.83","225.37","64.37M","-1.82%"
"10/30/2024","230.10","232.61","233.47","229.55","47.07M","-1.53%"
"10/29/2024","233.67","233.10","234.32","232.32","35.42M","0.12%"
"10/28/2024","233.40","233.32","234.73","232.55","36.09M","0.86%"
"10/25/2024","231.41","229.74","233.22","229.57","38.80M","0.36%"
"10/24/2024","230.57","229.98","230.82","228.41","31.11M","-0.08%"
"10/23/2024","230.76","234.08","235.14","227.76","52.29M","-2.16%"
"10/22/2024","235.86","233.88","236.22","232.60","38.85M","-0.26%"
"10/21/2024","236.48","234.45","236.85","234.45","36.25M","0.63%"
"10/18/2024","235.00","236.18","236.18","234.01","46.43M","1.23%"
"10/17/2024","232.15","233.43","233.85","230.52","32.99M","0.16%"
"10/16/2024","231.78","231.60","232.12","229.84","34.08M","-0.89%"
"10/15/2024","233.85","233.61","237.49","232.37","64.75M","1.10%"
"10/14/2024","231.30","228.70","231.73","228.60","39.88M","1.65%"
"10/11/2024","227.55","229.30","229.41","227.34","31.76M","-0.65%"
"10/10/2024","229.04","227.78","229.50","227.17","28.18M","-0.22%"
"10/09/2024","229.54","225.23","229.75","224.83","33.59M","1.67%"
"10/08/2024","225.77","224.30","225.98","223.25","31.86M","1.84%"
"10/07/2024","221.69","224.50","225.69","221.33","39.51M","-2.25%"
"10/04/2024","226.80","227.90","228.00","224.13","37.35M","0.50%"
"10/03/2024","225.67","225.14","226.80","223.32","34.04M","-0.49%"
"10/02/2024","226.78","225.89","227.37","223.02","32.88M","0.25%"
"10/01/2024","226.21","229.52","229.65","223.74","63.29M","-2.91%"
