"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2024","206.84","208.50","209.65","205.59","35.46M","-0.64%"
"11/08/2024","208.18","209.72","209.96","207.44","36.08M","-0.89%"
"11/07/2024","210.05","207.44","212.25","207.19","52.88M","1.43%"
"11/06/2024","207.09","200.01","207.55","199.14","72.29M","3.80%"
"11/05/2024","199.50","196.04","199.82","195.99","30.56M","1.90%"
"11/04/2024","195.78","196.45","197.33","194.31","38.49M","-1.09%"
"11/01/2024","197.93","199.00","200.50","197.02","99.69M","6.19%"
"10/31/2024","186.40","190.51","190.60","185.23","75.15M","-3.28%"
"10/30/2024","192.73","194.70","195.61","192.42","37.71M","1.00%"
"10/29/2024","190.83","188.58","191.46","187.82","35.69M","1.30%"
"10/28/2024","188.39","189.57","190.21","188.21","27.93M","0.30%"
"10/25/2024","187.83","187.85","190.45","187.53","29.36M","0.78%"
"10/24/2024","186.38","185.25","187.11","183.86","21.65M","0.90%"
"10/23/2024","184.71","188.85","189.16","183.69","31.94M","-2.63%"
"10/22/2024","189.70","188.35","191.52","186.98","29.65M","0.33%"
"10/21/2024","189.07","188.05","189.46","186.40","24.64M","0.04%"
"10/18/2024","188.99","187.15","190.74","186.28","37.42M","0.78%"
"10/17/2024","187.53","188.22","188.94","186.00","25.04M","0.34%"
"10/16/2024","186.89","187.05","187.78","185.61","23.46M","-0.43%"
"10/15/2024","187.69","187.63","188.41","184.58","32.18M","0.08%"
"10/14/2024","187.54","189.78","189.83","187.36","22.61M","-0.68%"
"10/11/2024","188.82","186.63","189.93","186.30","25.75M","1.16%"
"10/10/2024","186.65","187.13","188.13","185.83","27.79M","0.80%"
"10/09/2024","185.17","182.82","185.85","182.05","26.34M","1.34%"
"10/08/2024","182.72","181.91","183.09","180.92","26.37M","1.06%"
"10/07/2024","180.80","182.95","183.60","180.25","42.36M","-3.06%"
"10/04/2024","186.51","185.75","187.60","183.60","41.08M","2.50%"
"10/03/2024","181.96","183.04","183.44","180.88","30.20M","-1.52%"
"10/02/2024","184.76","184.44","186.60","184.04","23.70M","-0.20%"
"10/01/2024","185.13","184.90","186.19","183.45","36.04M","-0.64%"
