date,open,close,volume,beta
2014-01-03,185.83,186.64,4059999.9999999995,0.62
2014-01-02,187.21,185.53,4550000.0,0.62
2013-12-31,186.49,187.57,3620000.0,0.62
2013-12-30,185.32,186.41,3020000.0,0.62
2013-12-27,185.84,185.08,3380000.0,0.62
2013-12-26,183.56,185.35,3330000.0,0.62
2013-12-24,181.96,183.22,1610000.0,0.62
2013-12-23,181.05,182.23,4080000.0,0.62
2013-12-20,180.12,180.02,7660000.0,0.62
2013-12-19,177.88,180.22,5930000.0,0.62
2013-12-18,176.45,178.7,5700000.0,0.62
2013-12-17,177.36,175.76,5480000.0,0.62
2013-12-16,173.22,177.85,7520000.0,0.62
2013-12-13,173.52,172.8,4179999.9999999995,0.62
2013-12-12,175.06,173.37,5670000.0,0.62
2013-12-11,177.0,175.2,4090000.0,0.62
2013-12-10,176.9,177.12,4130000.0,0.62
2013-12-09,177.99,177.46,3800000.0,0.62
2013-12-06,176.7,177.67,4740000.0,0.62
2013-12-05,176.15,176.08,4390000.0,0.62
2013-12-04,175.37,175.74,5270000.0,0.62
2013-12-03,177.0,176.08,5860000.0,0.62
2013-12-02,179.46,177.48,4560000.0,0.62
2013-11-29,179.21,179.68,2870000.0,0.62
2013-11-27,177.83,178.97,4600000.0,0.62
2013-11-26,178.67,177.31,5760000.0,0.62
2013-11-25,180.25,178.94,7160000.0,0.62
2013-11-22,183.5,181.3,7610000.0,0.62
2013-11-21,185.54,184.13,4460000.0,0.62
2013-11-20,185.22,185.19,3650000.0,0.62
2013-11-19,184.63,185.25,4580000.0,0.62
2013-11-18,183.52,184.47,5340000.0,0.62
2013-11-15,182.38,183.19,5180000.0,0.62
2013-11-14,180.48,182.21,6320000.0,0.62
2013-11-13,182.27,183.55,4710000.0,0.62
2013-11-12,182.53,183.07,4260000.0,0.62
2013-11-11,180.19,182.88,5220000.0,0.62
2013-11-08,178.83,179.99,6280000.0,0.62
2013-11-07,179.6,180.0,5220000.0,0.62
2013-11-06,177.91,179.19,4560000.0,0.62
2013-11-05,179.54,177.85,6100000.0,0.62
2013-11-04,179.9,180.27,3480000.0,0.62
2013-11-01,179.81,179.23,3640000.0,0.62
2013-10-31,179.65,179.21,4320000.0,0.62
2013-10-30,181.69,180.15,5280000.0,0.62
2013-10-29,177.62,182.12,8910000.0,0.62
2013-10-28,177.04,177.35,3710000.0,0.62
2013-10-25,178.43,176.85,4840000.0,0.62
2013-10-24,176.43,177.8,5530000.0,0.62
2013-10-23,175.09,175.77,5420000.0,0.62
2013-10-22,173.35,174.97,6980000.0,0.62
2013-10-21,174.42,172.86,7100000.0,0.62
